bias_rating,ave_m,cred_type,Domain,UniqueAdServers,AdsCount
left-center,743000000.0,traditional,msn.com,8.0,12.0
left,535000000.0,traditional,cnn.com,31.0,31.0
right,484020000.0,fake,dailymail.co.uk,23.0,25.0
right,391666666.0,traditional,foxnews.com,15.0,15.0
right-center,344790000.0,traditional,newsweek.com,14.0,14.0
least biased,249370000.0,traditional,worldometers.info,12.0,13.0
left-center,243333333.0,traditional,nytimes.com,8.0,8.0
left-center,230666666.0,traditional,aol.com,10.0,12.0
right,170300000.0,fake,express.co.uk,11.0,11.0
right-center,167133333.0,fake,indiatimes.com,40.0,40.0
left-center,157150000.0,traditional,infobae.com,20.0,20.0
left-center,156700000.0,traditional,elpais.com,2.0,2.0
left-center,129133333.0,traditional,usatoday.com,16.0,18.0
left-center,127800000.0,traditional,spiegel.de,0.0,0.0
right-center,108366666.0,traditional,forbes.com,24.0,26.0
least biased,106000000.0,traditional,cnet.com,18.0,18.0
,102533333.0,traditional,businessinsider.com,12.0,12.0
left,101633333.0,traditional,people.com,8.0,8.0
left-center,100900000.0,traditional,cnbc.com,17.0,17.0
right-center,93033333.0,fake,drudgereport.com,9.0,10.0
right-center,89330000.0,traditional,marketwatch.com,27.0,29.0
left-center,85560000.0,traditional,francetvinfo.fr,0.0,0.0
right-center,82400000.0,traditional,news.com.au,18.0,21.0
left-center,78960541.0,traditional,fool.com,10.0,10.0
least biased,78490000.0,traditional,ansa.it,3.0,3.0
left-center,74533333.0,traditional,nbcnews.com,15.0,15.0
left-center,71933333.0,traditional,npr.org,16.0,19.0
left-center,62900000.0,traditional,bloomberg.com,17.0,18.0
left,62500000.0,traditional,gizmodo.com,23.0,24.0
left-center,57833333.0,traditional,cbsnews.com,18.0,18.0
right,57633333.0,fake,breitbart.com,23.0,24.0
least biased,56400000.0,traditional,patch.com,8.0,8.0
least biased,56066666.0,traditional,thehill.com,16.0,21.0
left-center,55233333.0,traditional,abc.net.au,3.0,3.0
right-center,55166666.0,traditional,wsj.com,25.0,27.0
left-center,54490000.0,traditional,zeit.de,1.0,1.0
left-center,54333333.0,traditional,vice.com,17.0,17.0
least biased,52400000.0,traditional,reuters.com,25.0,33.0
right-center,51566666.0,traditional,nos.nl,0.0,0.0
left,50600000.0,fake,worldstarhiphop.com,31.0,40.0
left-center,50033333.0,fake,hindustantimes.com,15.0,17.0
right-center,46470000.0,traditional,india.com,6.0,10.0
left-center,45566666.0,traditional,theverge.com,18.0,19.0
left-center,45460000.0,traditional,usnews.com,11.0,15.0
left-center,44900000.0,traditional,abcnews.go.com,15.0,18.0
left-center,44510536.0,traditional,bleacherreport.com,16.0,16.0
left-center,43333333.0,traditional,bustle.com,13.0,13.0
